"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
3,"LGA","NY","SNA","CA","LGA:IAH:SNA","UA:UA",1,225.5,1416,2,1
3,"ORD","IL","LGA","NY","ORD:LGA","AA",1,334.5,733,2,0
3,"LGA","NY","IAH","TX","LGA:IAH","US",1,220.5,1416,2,0
3,"MCO","FL","LGA","NY","MCO:JFK:LGA","DL:--",1,230.77,944,2,1
3,"LGA","NY","CMH","OH","LGA:MDW:CMH","WN:WN",1,236.5,725,2,1
3,"MSP","MN","JFK","NY","MSP:JFK","SY",4,204,1029,2,0
3,"MSP","MN","JFK","NY","MSP:JFK","9E",1,406.5,1029,2,0
3,"JFK","NY","PDX","OR","JFK:PHX:FAT:PDX","US:YV:--",1,278.2,2153,2,2
3,"SFO","CA","ALB","NY","SFO:MDW:ALB","WN:WN",2,240,1855,2,1
3,"MSP","MN","LGA","NY","MSP:LGA","DL",1,966,1020,2,0
3,"LGA","NY","DFW","TX","LGA:DFW","AA",1,218.37,1389,2,0
3,"FLL","FL","LGA","NY","FLL:LGA","DL",14,169,1076,2,0
3,"BUF","NY","FLL","FL","BUF:JFK:FLL","B6:B6",1,187,301,2,1
3,"LGA","NY","CHS","SC","LGA:CHS","EV",1,233.5,641,2,0
3,"LGA","NY","CLT","NC","LGA:CLT","US",1,144,544,2,0
3,"JFK","NY","ATL","GA","JFK:ATL","US",2,243.38,760,2,0
3,"PBI","FL","JFK","NY","PBI:JFK","B6",4,206,1028,2,0
3,"DFW","TX","LGA","NY","DFW:LGA","CP",1,662,1389,2,0
3,"JFK","NY","ACK","MA","JFK:ACK","B6",1,187,199,2,0
3,"CLT","NC","SYR","NY","CLT:SYR","US",1,193.65,603,2,0
3,"SJU","PR","BUF","NY","SJU:PHL:BUF","US:US",1,168,1576,1,1
3,"SYR","NY","ONT","CA","SYR:ORD:DFW:ONT","MQ:AA:AA",1,451.38,607,2,2
3,"LAS","NV","BUF","NY","LAS:DTW:BUF","DL:9E",1,164.6,1749,2,1
3,"SEA","WA","JFK","NY","SEA:JFK","DL",1,324.09,2422,2,0
3,"DTW","MI","LGA","NY","DTW:LGA","DL",2,206,502,2,0
3,"JFK","NY","MSY","LA","JFK:MSY","B6",3,160.5,1182,2,0
3,"BUF","NY","BOS","MA","BUF:BOS","ZW",2,121.5,395,2,0
3,"RSW","FL","JFK","NY","RSW:JFK","B6",1,280,1074,2,0
3,"LGA","NY","TVC","MI","LGA:DTW:TVC","DL:DL",1,186.84,502,2,1
3,"MCI","MO","LGA","NY","MCI:STL:LGA","WN:WN",1,205.54,237,2,1
3,"LGA","NY","ORD","IL","LGA:ORD","AA",1,308.5,733,2,0
3,"JFK","NY","SFO","CA","JFK:SFO","AA",1,725,2586,2,0
3,"LGA","NY","SHD","VA","LGA:IAD:SHD","EV:3M",2,215,229,2,1
3,"LGA","NY","MIA","FL","LGA:MIA","DL",1,447,1096,2,0
3,"DEN","CO","LGA","NY","DEN:LGA","UA",2,462,1620,2,0
3,"JFK","NY","BTV","VT","JFK:BTV","B6",1,192,266,2,0
3,"LGA","NY","BOI","ID","LGA:BOI","WN",1,265.73,2159,2,0
3,"SFO","CA","LGA","NY","SFO:MDW:LGA","WN:WN",5,206,1855,2,1
3,"DEN","CO","ROC","NY","DEN:LGA:ROC","DL:9E",1,237.22,1620,2,1
3,"CLT","NC","ALB","NY","CLT:DTW:ALB","DL:RP",1,189,500,2,1
3,"BUF","NY","CLT","NC","BUF:DTW:CLT","DL:DL",1,160,241,2,1
3,"LGA","NY","MIA","FL","LGA:MIA","DL",1,401,1096,2,0
3,"TPA","FL","LGA","NY","TPA:LGA","DL",1,211.5,1010,2,0
3,"JFK","NY","LAX","CA","JFK:LAX","VX",37,329.5,2475,2,0
3,"ROC","NY","EWR","NJ","ROC:EWR","EV",1,109,246,2,0
3,"LGA","NY","MIA","FL","LGA:MIA","DL",1,246.5,1096,2,0
3,"JFK","NY","SFO","CA","JFK:SFO","UA",1,698,2586,2,0
3,"AZO","MI","LGA","NY","AZO:ORD:LGA","MQ:AA",1,183,122,2,1
3,"JFK","NY","MCO","FL","JFK:MCO","B6",21,177,944,2,0
3,"LGA","NY","SFO","CA","LGA:IAD:SFO","EV:UA",1,289,229,2,1
3,"JFK","NY","JAX","FL","JFK:JAX","B6",1,117.5,828,2,0
3,"BUF","NY","DEN","CO","BUF:MDW:DEN","WN:WN",1,171.75,468,2,1
3,"MIA","FL","LGA","NY","MIA:DCA:LGA","AA:US",1,173,919,2,1
3,"CAE","SC","LGA","NY","CAE:LGA","EV",1,191.5,617,2,0
3,"ROC","NY","BOS","MA","ROC:BOS","ZW",1,148,343,2,0
3,"ITH","NY","SEA","WA","ITH:DTW:SEA","9E:DL",1,171.37,353,2,1
3,"ROC","NY","ICT","KS","ROC:ORD:ICT","MQ:OO",1,196.5,528,2,1
3,"JFK","NY","SEA","WA","JFK:SEA","DL",1,195,2422,2,0
3,"JFK","NY","SEA","WA","JFK:EWR:SEA","--:AS",1,311.7,21,2,1
4,"BNA","TN","LGA","NY","BNA:LGA","EV",1,223,764,2,0
4,"MDW","IL","ROC","NY","MDW:ROC","WN",1,194.5,523,2,0
4,"DTW","MI","LGA","NY","DTW:PHL:LGA","US:US",1,105.66,453,2,1
4,"BGM","NY","MCI","MO","BGM:DTW:MCI","9E:DL",1,145,378,2,1
4,"LAS","NV","ROC","NY","LAS:IAD:ROC","UA:C5",1,324.44,2065,2,1
4,"LGA","NY","CLT","NC","LGA:CLT","US",1,460,544,2,0
4,"CLE","OH","LGA","NY","CLE:LGA","EV",1,193,419,2,0
4,"LGA","NY","MCI","MO","LGA:MCI","G7",1,289.5,1107,2,0
4,"ILM","NC","BUF","NY","ILM:PHL:BUF","ZW:ZW",1,206.19,413,2,1
4,"LGA","NY","MIA","FL","LGA:MIA","DL",1,815,1096,2,0
4,"BOS","MA","LGA","NY","BOS:LGA","DL",14,392,184,2,0
4,"PBI","FL","LGA","NY","PBI:LGA","B6",1,298,1035,2,0
4,"JFK","NY","LGB","CA","JFK:LGB","B6",1,208.58,2465,2,0
4,"JFK","NY","DTW","MI","JFK:DTW","DL",1,427.94,509,2,0
4,"SFO","CA","JFK","NY","SFO:JFK","DL",1,215,2586,2,0
4,"DEN","CO","JFK","NY","DEN:SLC:JFK","DL:DL",1,294.73,391,2,1
4,"CLT","NC","JFK","NY","CLT:JFK","B6",1,319.5,541,2,0
4,"ATL","GA","LGA","NY","ATL:LGA","DL",3,298,762,2,0
4,"FLL","FL","LGA","NY","FLL:LGA","DL",3,532,1076,2,0
